Issue Id,Parent Id,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Priority,Labels,Component,Phase,Sprint,Repo
2074,2073,Sub-task,Create the public mirror repository and workflow,"A public repository holding the Corresponding Source. On a release tag, push the exact deployed tree to it. Secrets live in environment configuration rather than the repo, so nothing needs redacting - but verify that before the first push.",A release tag results in the matching commit appearing publicly; a gitleaks scan of the mirror is clean.,5,Highest,"compliance,ci",Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2075,2073,Sub-task,Gate deploys on a successful mirror push,"Ordering is tag, then mirror push, then deploy. If the mirror push fails the deploy does not proceed, so a running version always has published source behind it.",A simulated mirror failure blocks the deploy.,3,Highest,"compliance,ci",Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2076,2073,Sub-task,Serve the source offer from the application UI,"The offer must be prominent, from a network server, at no charge. A footer link resolving to the mirror at the running commit satisfies it. Wire the commit SHA into the build so the link is version-accurate.",The running application links to the exact source of the version being served.,3,Highest,compliance,Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2077,2072,Story,Notices and attributions,Both licences impose notice obligations that survive into the combined work. Neither is heavy; both are checkable.,Every notice obligation in the launch checklist is satisfied and verified.,,Highest,compliance,Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2078,2077,Sub-task,Add AGPL modification and licence notices,"Section 5(a): a prominent notice that you modified the work, with a relevant date. Section 5(b): a prominent notice that it is released under AGPL. Section 5(d): Appropriate Legal Notices in the interactive UI - copyright notice, no-warranty statement, that recipients may convey the work, and how to view the licence. The root LICENSE is never deleted or altered; section 8 terminates your rights if it is.",All four notices present and reachable from the running application; LICENSE unmodified at the repo root.,3,Highest,compliance,Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2079,2077,Sub-task,Satisfy the Apache-2.0 notice obligations,"Section 4(a): ship a copy of the Apache License for the Juralio-derived portion. Section 4(b): retain existing copyright, patent, trademark and attribution notices, and mark files you changed. Section 4(c): reproduce any upstream NOTICE file attributions. Apache-licensed files keep their headers - it is the combination that is AGPL.",Apache licence and NOTICE attributions ship with the product; no Apache header has been stripped.,3,Highest,compliance,Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2080,2077,Sub-task,Run a trademark sweep,"AGPL section 7(e) and Apache section 6 both reserve trademark rights - neither licence grants you the upstream marks. Confirm no upstream name, logo, wordmark or domain survives in any user-visible surface, including email templates, error pages and the Word add-in manifest.",A full sweep finds no upstream trademark in any shipped surface.,2,High,"compliance,branding",Platform,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2081,,Epic,Observability,"Establish what the service is doing in production. Logging must use the existing redaction helpers - this is privileged legal material, and a log line is a disclosure.","Structured logs, metrics, dashboards and alerts are live; no sensitive content reaches a log.",,High,observability,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2082,2081,Story,Structured logging and error reporting,"The codebase already separates user-facing errors from internal ones: httpError.ts keeps exception messages away from clients, and safeError.ts provides redaction helpers for logging. Build on those rather than adding a parallel path.",Every request is traceable; no document content or credential appears in any log.,,High,observability,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2083,2082,Sub-task,Add structured request logging with redaction,"Request id, user id, route, status, duration. Route every log through the safeError redaction helpers. Verify explicitly that document content, prompts and API keys never appear.",Logs are queryable by request id and user id; a deliberate probe confirms no sensitive field is emitted.,5,High,"observability,security",Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2084,2082,Sub-task,Wire error tracking to the redaction helpers,An error tracker that captures raw exception payloads would defeat the existing protections. Integrate through safeError so the redaction applies before anything leaves the process.,Errors reach the tracker with stack traces intact and sensitive values removed.,3,High,"observability,security",Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2085,2081,Story,"Metrics, dashboards and alerts","The paths that fail quietly are the queue workers, the model provider calls and the conversion pipeline - all asynchronous, none visible to a user until something is missing.",A dashboard shows service health at a glance; alerts fire on the silent failure paths.,,High,observability,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2086,2085,Sub-task,Instrument service and queue metrics,"Request rate, latency and error rate per route; queue depth, job duration and failure rate for conversion, extraction and export jobs; model provider latency, error and token consumption.",Metrics are collected and charted for all three areas.,5,High,observability,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2087,2085,Sub-task,Alert on the silent failure paths,"Queue backlog growth, repeated job failures, model provider errors, storage failures and migration failures. Each alert names the runbook that resolves it.",Each alert has fired at least once in a drill and resolved to a runbook.,3,High,observability,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2088,,Epic,Backend test safety net,"Coverage is gated at 52 percent statements on backend/src/lib, and the largest, most complex files sit inside that gap. The convention in the repo is a ratchet - floors only go up - so raise them as tests land.",The largest untested surfaces have characterisation tests and the coverage floors have been raised.,,Medium,test,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2089,2088,Story,Cover the largest untested surfaces,"Prioritise by size and blast radius rather than chasing a percentage: tabular.ts at 2,650 lines, user.ts at 2,192, documentOps.ts at 2,013 and toolDispatcher.ts at 1,998.",Each named file has route or unit tests covering its main paths; the ratchet floors are raised in the same change.,,Medium,test,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2090,2089,Sub-task,Route integration tests for tabular.ts and user.ts,"The two largest route files. Cover the main success paths, the authorisation boundaries and the error handling, following the existing integration test patterns.",Both files have route integration coverage; a deliberate regression in each is caught.,8,Medium,test,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2091,2089,Sub-task,Characterisation tests for the chat tool layer,toolDispatcher.ts routes thirteen assistant tools and documentOps.ts implements the document operations. Characterise current behaviour before changing anything in this area.,Tool dispatch and document operations have tests describing actual current behaviour.,8,Medium,test,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2092,2089,Sub-task,Raise the coverage ratchet floors,"Update the thresholds in backend/vitest.config.mts to the newly measured values, rounded down, in the same change as the tests. The repo convention is explicit that floors only move up.",New floors committed and CI fails on a drop below them.,2,Medium,test,Backend,Phase 3 - Production Ready,Sprint 5,legal-workflow-service
2093,,Epic,Operational readiness,"Everything required to run this as a service holding confidential legal material, rather than as an application that happens to be deployed.","Backups restore, runbooks exist, and the service has been load tested.",,High,ops,Infrastructure,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2094,2093,Story,"Backup, restore and disaster recovery","An untested backup is not a backup. For legal client data the restore path is the thing that matters, and it is worth proving before you need it.",A full restore has been performed into a clean environment and verified.,,Highest,ops,Infrastructure,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2095,2094,Sub-task,Configure automated backups and prove a restore,"Database and object storage both. Perform an actual restore into a clean environment and confirm documents, chats and reviews all come back intact and readable.",A restore drill completes with the application fully functional against the restored data.,8,Highest,ops,Infrastructure,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2096,2094,Sub-task,Write runbooks for the common failure modes,"Queue backlog, model provider outage, storage failure, failed migration, certificate expiry, and the restore procedure. Each alert from the observability epic points at one of these.",Every alert resolves to a runbook a person can follow without prior context.,5,High,ops,Infrastructure,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2097,2093,Story,Performance and resilience,The repository ships a k6 SSE load scenario because streaming is where this class of application falls over first.,Load testing is complete and what it surfaced has been addressed.,,Medium,performance,Backend,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2098,2097,Sub-task,Run the k6 SSE load scenario against staging,"loadtest.yml already defines the scenario. Run it against real infrastructure rather than a laptop, with concurrent streaming chats plus tabular generation.",A load report exists with latency and error rate at the target concurrency.,5,Medium,performance,Backend,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2099,2097,Sub-task,Address what the load test surfaces,"Likely candidates from the review: connection handling under concurrent SSE, queue throughput when conversion and extraction compete, and provider rate limits.",Identified bottlenecks are fixed or explicitly accepted with a documented limit.,5,Medium,performance,Backend,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2100,,Epic,Launch,"Final verification and cutover. Nothing here should surface a surprise - if it does, the preceding sprints were not finished.","Production is live, verified, monitored, and licence-compliant.",,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2101,2100,Story,Pre-launch verification,"One pass over everything, against production configuration rather than staging assumptions.","All suites green, compliance checklist signed off, security review complete.",,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2102,2101,Sub-task,Run the full suite against production configuration,"Backend, frontend, stack tests, schema drift and the Playwright e2e suite, against the production build and configuration.",Every suite green against production configuration.,3,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2103,2101,Sub-task,Sign off the licence compliance checklist,Ten items: LICENSE retained; modification notice with date; AGPL notice; Appropriate Legal Notices in the UI; prominent source offer matching the deployed commit; Apache licence copy; Apache notices retained and changed files marked; NOTICE attributions reproduced; no upstream trademarks; release ordering verified.,"Every item checked against the running production application, not against intent.",3,Highest,"launch,compliance",Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2104,2101,Sub-task,Security review of the combined deployment,"The repository ships a security-review workflow. Run it across both repositories plus the integration seam, and treat the boundary itself as in scope.",Review complete; findings triaged and either fixed or accepted in writing.,5,Highest,"launch,security",Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2105,2100,Story,Go live,Cutover and the watched period immediately after it.,Production serving real users with monitoring confirmed working.,,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2106,2105,Sub-task,Production cutover and smoke test,"Deploy to production, run the smoke path end to end - signup, upload, chat with a document, run a workflow, run a tabular review, export - and confirm the source offer link resolves to the deployed commit.",Every smoke path passes against production; the source link resolves correctly.,3,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
2107,2105,Sub-task,Post-launch monitoring window,"A defined watch period with alerting confirmed live, a rollback rehearsed, and someone accountable for responding.",The window completes with no unresolved incident and alerting proven working.,3,Highest,launch,Platform,Phase 3 - Production Ready,Sprint 6,legal-workflow-service
